,Data,Horario,Estacao,Latitude,Longitude,Banda 1,Banda 2,Banda 3,Banda 4,Banda 5,Banda 6,Banda 7,Banda 8,Banda 9,Banda 10,Banda 11,Banda 12,Banda 13,Banda 14,Banda 15,Banda 16
50,1/10/2018,1800,82689,-6.37,-38.3,57.8,55.11,56.19,32.5,32.73,37.33,271.09,221.53,222.5,222.79,223.72,223.56,225.06,223.55,222.69,221.92
51,1/10/2018,1800,82690,-6.47,-37.08,20.79,13.14,18.22,8.38,15.3,18.12,277.83,227.36,232.53,237.76,258.77,237.74,258.73,256.23,253.96,243.67
52,1/10/2018,1800,82668,-6.63,-51.98,57.68,58.6,61.26,0.38,50.63,38.31,303.42,239.82,250.36,261.06,274.27,255.37,276.43,277.05,276.65,267.19
53,1/10/2018,1800,82610,-6.67,-69.87,16.34,4.47,42.92,0.25,22.63,13.93,305.95,252.84,261.41,267.04,291.95,273.05,294.93,293.51,289.82,275.95
54,1/10/2018,1800,82678,-6.77,-43.02,13.68,11.01,16.63,0.19,19.65,16.25,307.56,234.75,243.84,255.27,297.22,259.91,300.65,301.05,298.81,275.57
55,1/10/2018,1800,82696,-6.97,-35.68,48.44,43.39,54.57,8.57,40.53,27.11,288.91,233.06,238.12,240.5,249.44,233.34,250.5,249.52,247.53,241.47
56,1/10/2018,1800,82791,-7.02,-37.27,51.71,51.61,49.49,16.15,29.71,26.6,267.36,227.61,230.63,231.57,235.77,227.77,237.35,235.28,234.13,231
57,1/10/2018,1800,82798,-7.1,-34.87,38.79,34.82,35.71,2.6,28.47,21.93,286.69,232.77,240.16,244.39,252.51,233.63,255.78,254.97,254.62,246.04
58,1/10/2018,1800,82800,-7.12,-34.95,28.79,16.41,21.46,1.77,19.26,16.88,287.3,233.87,241.64,246.59,260.08,237.08,261.68,261.01,259.38,249.84
59,1/10/2018,1800,82659,-7.2,-48.2,18.12,19.99,25.93,0.06,33.58,23.77,314.57,238.39,246.08,255.57,301.44,271.16,306.48,306.8,303.22,279.7
60,1/10/2018,1800,82795,-7.22,-35.88,26.12,20.95,22.69,5.8,13.07,18.47,265.16,234.97,241.72,245.19,255.54,234.95,256.46,256.29,255.63,246.98
61,1/10/2018,1800,82723,-7.25,-64.83,11.93,9.01,31.23,0.12,18.53,8.5,303.72,253.05,262.21,268.84,294.25,274.09,296.53,295.85,292.73,278.26
62,1/10/2018,1800,82796,-7.27,-35.88,46.28,47.65,45.26,5.36,24.5,18.73,273.97,235.22,241.89,245.04,253.97,234.86,255.54,256.05,254.62,247.09
63,1/10/2018,1800,82765,-7.33,-47.47,13.68,11.84,17.87,0.25,22.5,17.61,312.9,239.57,250.78,262.55,303.01,269.36,306.3,306.8,304.35,280.58
64,1/10/2018,1800,82768,-7.53,-46.03,13.8,12.88,23.42,0.31,25.36,17.87,309.89,249.16,259.04,266.15,301.29,266.72,304.09,304.47,302.2,279.09
65,1/10/2018,1800,82797,-7.83,-35.72,22.19,18.95,24.31,0.25,22.88,16.5,298.67,235.18,243.2,250.48,281.31,247.48,284.91,285.79,284.28,265.05
66,1/10/2018,1800,82792,-7.88,-37.07,23.2,22.38,21.33,2.6,17.77,17.74,284.04,236.87,244.09,247.89,259.09,236.51,260.82,260.6,259.5,250.12
67,1/10/2018,1800,82753,-7.9,-40.05,37.52,34.38,36.69,24.38,29.23,30.44,275.29,218.02,219.11,220.7,226.69,225.69,227.09,222.59,220.61,219.82
68,1/10/2018,1800,82900,-8.05,-34.92,33.46,18.25,30.63,3.58,22.5,20.34,282,234.04,241.13,245.44,256.11,235.28,258.98,258.38,257.06,248.63
69,1/10/2018,1800,82861,-8.25,-49.28,46.66,44.79,52.22,0.38,48.88,41.26,306.53,238.64,247.78,256.62,269.47,251.17,272.01,271.73,270.7,262.29
70,1/10/2018,1800,82879,-8.35,-42.25,25.87,22.41,26.79,7.84,22.88,20.95,293.72,229.3,234.82,241.15,268.32,245.4,271.89,265.92,261.23,248.47
71,1/10/2018,1800,82890,-8.42,-37.08,16.22,17.11,20.95,0.44,24.5,17.49,299.15,236.4,245.15,252.13,282.77,249.27,285.28,285.31,283.15,264.66
